id,rank,discipline,yrs.since.phd,yrs.service,sex,salary
140,AsstProf,B,2,0,Female,96181
141,AssocProf,A,1,13,Male,105906
142,AsstProf,A,4,11,Male,62999
143,AsstProf,B,1,14,Male,66805
144,Prof,A,0,0,Female,184721
145,AsstProf,A,16,7,Male,166926
146,AsstProf,B,6,10,Female,76928
147,AssocProf,A,4,3,Female,193338
148,AsstProf,B,5,4,Male,124468
149,AsstProf,A,1,17,Male,108190
150,AsstProf,A,2,0,Male,224317
151,AsstProf,B,9,11,Female,207175
152,AssocProf,B,13,14,Male,149455
153,AssocProf,B,12,15,Male,149029
154,AsstProf,A,18,15,Male,162455
155,AssocProf,B,17,2,Female,67347
156,AssocProf,B,2,14,Female,148759
157,AsstProf,A,18,19,Female,83265
158,AsstProf,B,18,5,Male,172256
159,AsstProf,B,1,8,Male,73041
160,Prof,A,4,18,Female,105142
161,AsstProf,A,13,14,Female,177316
162,AsstProf,A,14,16,Female,172165
163,AssocProf,A,6,15,Male,66441
164,AsstProf,A,13,0,Male,174142
165,AssocProf,B,16,9,Male,132859
166,AssocProf,A,14,2,Female,193615
167,Prof,A,14,9,Female,235363
168,AssocProf,B,8,12,Male,169093
169,AssocProf,A,11,19,Female,140561
170,AsstProf,B,17,16,Male,68527
171,AssocProf,B,12,16,Female,71426
172,AsstProf,A,6,9,Male,141426
173,AssocProf,B,3,16,Male,55655
174,AsstProf,A,18,4,Male,153994
175,AsstProf,A,12,16,Female,64857
176,Prof,A,8,19,Female,117402
177,Prof,A,10,15,Male,176033
178,AsstProf,A,12,14,Female,117102
179,AssocProf,A,2,4,Female,102453
180,AssocProf,A,7,14,Female,145388
181,AssocProf,B,15,12,Male,141062
182,AssocProf,B,6,14,Female,128276
183,Prof,A,9,5,Female,72536
184,AssocProf,B,4,11,Female,60722
185,Prof,A,8,7,Male,107342
186,AssocProf,A,18,18,Female,216820
187,Prof,B,5,3,Female,166119
188,AssocProf,A,18,19,Male,123036
189,AssocProf,A,1,10,Male,114523
190,AssocProf,A,1,19,Female,109842
191,AssocProf,A,14,7,Male,132162
192,AssocProf,A,12,3,Male,94298
193,AsstProf,A,2,3,Female,235336
194,Prof,B,6,12,Male,105082
195,AsstProf,A,14,18,Male,97036
196,AssocProf,A,14,3,Female,145352
197,AssocProf,B,12,14,Male,81257
198,Prof,B,17,18,Male,148784
199,AssocProf,B,9,17,Male,151795
200,AsstProf,B,11,12,Male,159931
201,Prof,A,2,0,Male,228834
202,AsstProf,B,8,0,Female,141119
203,Prof,A,18,10,Female,92923
204,AsstProf,B,7,5,Male,60540
205,Prof,A,7,6,Female,201451
206,AssocProf,A,16,11,Female,89728
207,AssocProf,A,7,3,Male,132387
208,AsstProf,B,15,12,Male,151025
209,Prof,A,8,0,Male,66143
210,AsstProf,B,16,7,Male,236133
211,Prof,B,16,11,Female,117708
212,Prof,B,8,8,Female,188191
213,AsstProf,B,3,6,Female,206606
214,AsstProf,B,17,12,Female,67574
215,AssocProf,A,19,2,Female,166237
216,Prof,A,4,14,Male,134633
217,AsstProf,A,11,10,Male,228635
218,AssocProf,B,6,15,Male,113589
219,Prof,B,1,6,Male,102085
220,AssocProf,A,19,2,Female,170210
221,AssocProf,A,14,12,Female,112703
222,AssocProf,B,16,16,Male,93495
223,AsstProf,B,10,8,Female,118436
224,AssocProf,B,19,17,Male,109097
225,AssocProf,A,13,10,Male,156705
226,Prof,A,4,6,Male,151824
227,Prof,B,2,17,Female,210179
228,AsstProf,B,5,9,Male,122823
229,AsstProf,B,16,16,Male,100588
230,AsstProf,B,3,0,Female,210820
231,AssocProf,A,1,11,Male,75354
232,Prof,B,5,1,Female,220188
233,AssocProf,B,3,8,Male,92167
234,AssocProf,A,0,9,Female,235682
235,AsstProf,A,8,1,Male,201812
236,Prof,B,5,18,Male,167756
237,AsstProf,A,12,5,Female,165702
238,AsstProf,B,3,0,Female,62380
239,AsstProf,B,11,6,Female,178418
240,AssocProf,B,16,13,Female,175844
241,Prof,A,15,2,Female,111291
242,Prof,B,11,3,Male,141430
243,AsstProf,B,19,1,Male,178118
244,AsstProf,A,5,7,Female,100859
245,AsstProf,A,1,14,Male,156476
246,AsstProf,B,18,15,Male,121478
247,Prof,A,9,0,Male,201441
248,Prof,A,4,18,Female,54483
249,AssocProf,A,5,14,Male,174536
250,Prof,B,18,19,Female,232622
251,Prof,A,6,18,Female,69293
252,AsstProf,B,14,19,Male,201650
253,AssocProf,A,13,9,Female,202398
254,AsstProf,B,12,7,Male,189849
255,Prof,B,7,13,Male,206225
256,AsstProf,B,1,14,Female,63408
257,AssocProf,A,8,9,Male,96079
258,AssocProf,B,12,9,Male,71083
259,Prof,B,12,12,Male,157474
260,Prof,B,19,1,Female,71192
261,Prof,A,13,3,Female,126457
262,AsstProf,A,18,2,Female,232363
263,AsstProf,A,7,6,Female,127302
264,Prof,A,13,7,Male,66004
265,AssocProf,A,5,19,Female,198972
266,AsstProf,A,11,4,Female,54661
267,AssocProf,B,9,14,Male,202982
268,Prof,B,6,17,Female,116900
269,AssocProf,B,9,1,Male,84687
270,Prof,A,7,18,Female,214587
271,Prof,B,12,7,Female,137860
272,Prof,A,15,5,Female,157865
273,AssocProf,A,15,1,Female,235480
274,AsstProf,B,18,13,Male,208427
275,AssocProf,A,16,5,Male,175920
276,Prof,B,11,12,Female,238975
277,AsstProf,A,8,0,Male,68731
278,Prof,B,11,10,Female,122742
279,AssocProf,B,19,17,Male,127874
280,Prof,B,6,8,Male,54173
281,AsstProf,B,9,0,Male,161961
282,AsstProf,A,4,17,Female,64239
283,Prof,B,13,12,Female,144606
284,AsstProf,B,3,13,Male,214274
285,AssocProf,A,18,1,Male,184734
286,Prof,A,5,15,Female,70685
287,AssocProf,B,14,3,Female,118087
288,AsstProf,A,14,9,Male,82231
289,AsstProf,A,14,13,Male,194004
290,AsstProf,A,3,4,Female,58367
291,Prof,A,2,2,Male,85939
292,Prof,A,0,0,Female,111804
293,AssocProf,A,7,5,Male,140246
294,AssocProf,A,17,8,Male,107764
295,Prof,B,15,6,Female,185326
296,AssocProf,A,15,1,Male,117765
297,Prof,A,3,8,Female,194705
298,AsstProf,A,0,5,Female,190733
299,Prof,A,17,8,Female,188521
300,Prof,B,2,19,Female,74241
301,Prof,B,1,4,Female,236448
302,AsstProf,B,18,11,Male,131196
303,AssocProf,A,16,17,Male,63035
304,Prof,A,18,1,Female,190027
305,AsstProf,A,13,2,Male,177791
306,Prof,A,12,9,Male,235006
307,Prof,B,16,19,Male,117776
308,Prof,B,6,4,Female,192978
309,AsstProf,A,18,5,Female,96465
310,AsstProf,A,12,17,Female,74445
311,AsstProf,A,11,8,Male,129622
312,Prof,A,0,17,Male,99665
313,Prof,A,7,11,Female,194383
314,Prof,B,3,10,Female,98302
315,AssocProf,A,17,2,Female,164210
316,AsstProf,B,10,10,Male,152832
317,AssocProf,A,6,8,Male,115755
318,AssocProf,A,19,4,Female,141280
319,AsstProf,A,3,16,Male,190258
320,Prof,B,1,16,Male,138216
321,Prof,B,15,0,Male,156129
322,AssocProf,A,1,6,Male,51964
323,AsstProf,A,18,5,Male,71119
324,AssocProf,B,13,2,Female,202779
325,AssocProf,A,8,3,Female,202560
326,AssocProf,B,7,1,Female,127288
327,AsstProf,A,10,14,Female,160010
328,AssocProf,B,4,18,Female,67160
329,AssocProf,B,17,12,Male,213615
330,AsstProf,A,15,1,Female,207637
331,Prof,A,8,13,Male,225225
332,AssocProf,A,15,16,Male,176407
333,AssocProf,A,9,1,Female,55164
334,AsstProf,B,1,17,Male,110062
335,Prof,B,8,11,Male,197589
336,Prof,A,1,11,Female,99040
337,Prof,B,0,10,Male,170572
338,AssocProf,A,11,16,Female,126789
339,AssocProf,B,13,18,Male,73079
340,AssocProf,B,17,1,Male,119684
341,AssocProf,B,5,17,Female,213175
342,Prof,B,16,9,Male,173821
343,AssocProf,B,18,2,Female,204472
344,AsstProf,A,8,13,Male,188139
345,Prof,B,5,13,Male,211463
346,AssocProf,B,10,11,Male,129957
347,AssocProf,A,4,9,Female,219197
348,AssocProf,B,11,10,Male,172568
349,AssocProf,B,3,1,Female,178908
350,AsstProf,B,8,12,Female,58445
351,AsstProf,B,10,14,Male,138667
352,AssocProf,B,12,0,Male,55915
353,AssocProf,B,9,3,Male,90322
354,AssocProf,A,16,8,Female,163051
355,Prof,B,10,9,Male,156179
356,AsstProf,B,0,2,Male,87623
357,AsstProf,A,2,10,Female,134794
358,AssocProf,A,17,14,Female,177706
359,AssocProf,A,1,8,Female,59047
360,Prof,B,5,1,Female,56365
361,Prof,A,19,8,Male,193755
362,Prof,B,3,18,Male,84415
363,AsstProf,B,17,7,Female,74383
364,Prof,A,15,9,Male,91853
365,AsstProf,B,1,7,Female,72778
366,AssocProf,A,10,16,Female,184392
367,AssocProf,B,19,11,Male,179844
368,AssocProf,A,19,8,Male,104867
369,Prof,B,1,14,Male,203521
370,AssocProf,B,12,7,Male,158539
371,AssocProf,A,16,2,Female,216612
372,Prof,B,17,8,Female,192472
373,Prof,B,13,0,Female,84654
374,Prof,A,7,11,Female,196705
375,AssocProf,B,2,14,Female,183104
376,Prof,A,1,17,Male,80157
377,Prof,A,0,1,Male,72256
378,Prof,B,11,14,Female,230606
379,AssocProf,B,3,17,Female,236390
380,AsstProf,A,5,18,Female,237523
381,AsstProf,A,11,15,Male,197915
382,AssocProf,A,10,8,Male,178827
383,Prof,B,18,17,Female,154022
384,AsstProf,B,9,11,Male,219298
385,AsstProf,B,5,18,Male,207360
386,AssocProf,B,0,16,Female,140344
387,AssocProf,A,13,16,Female,232878
388,AssocProf,A,19,0,Male,75114
389,AsstProf,B,5,13,Female,236043
390,AssocProf,B,6,5,Female,127664
391,AsstProf,B,7,13,Female,129344
392,AsstProf,A,19,3,Male,166196
393,AsstProf,A,17,7,Male,199374
394,Prof,A,0,13,Male,234090
395,Prof,B,16,8,Female,161595
396,Prof,B,10,19,Male,148543
397,AsstProf,B,2,1,Female,110630
398,AssocProf,A,8,12,Female,85029
399,AssocProf,A,19,4,Male,229804
400,AsstProf,A,16,18,Male,93532
401,AssocProf,B,9,7,Female,62423
402,Prof,A,7,14,Male,159445
403,AssocProf,B,13,15,Female,220612
404,AsstProf,A,8,0,Female,93846
405,Prof,B,15,19,Female,115612
406,Prof,B,3,9,Male,149098
407,AsstProf,B,10,10,Male,55310
408,AsstProf,B,1,7,Female,166321
409,AsstProf,B,6,7,Female,227803
410,AssocProf,A,9,13,Male,73835
411,AssocProf,B,5,1,Male,179103
412,AssocProf,A,12,7,Male,159870
413,AssocProf,B,5,8,Male,143301
414,AssocProf,B,15,8,Female,218881
415,Prof,B,17,17,Female,186875
416,Prof,A,6,11,Female,143110
417,AsstProf,B,3,9,Male,204860
418,Prof,A,9,10,Male,186383
419,AssocProf,A,17,4,Female,186212
420,AsstProf,B,19,11,Male,216940
421,AsstProf,B,11,19,Female,55244
422,Prof,B,13,12,Female,164746
423,AsstProf,B,17,13,Female,123254
424,Prof,B,3,18,Male,133862
425,Prof,A,13,14,Male,228684
426,AssocProf,A,5,17,Female,176885
427,AsstProf,B,5,2,Female,125102
428,AsstProf,B,10,8,Male,72914
429,AsstProf,B,10,6,Female,238058
430,AsstProf,A,15,17,Male,139843
431,Prof,A,10,14,Female,176817
432,AsstProf,B,13,19,Female,235328
433,AssocProf,B,10,15,Female,188230
434,AssocProf,A,13,6,Female,129064
435,AssocProf,A,11,9,Female,166634
436,AsstProf,A,17,3,Female,234537
437,AssocProf,B,7,6,Female,76598
438,Prof,B,7,14,Male,146306
439,Prof,B,11,7,Male,193552
440,Prof,B,11,0,Male,94412
441,AssocProf,A,0,10,Male,188447
442,AssocProf,A,6,9,Male,130326
443,AssocProf,A,7,11,Female,162604
444,AssocProf,B,18,4,Male,132524
445,Prof,A,11,2,Male,121533
446,AsstProf,A,6,19,Male,86044
447,AsstProf,B,0,16,Female,110556
448,Prof,B,4,12,Female,74503
449,AssocProf,B,13,8,Female,178604
450,AsstProf,A,6,19,Male,55367
451,AssocProf,B,10,14,Male,127530
452,AssocProf,B,1,14,Female,183438
453,AsstProf,A,10,17,Male,128802
454,AsstProf,A,14,0,Female,154757
455,Prof,A,9,17,Male,101072
456,Prof,A,0,16,Female,188524
457,AssocProf,B,10,7,Female,60159
458,AsstProf,B,11,8,Female,235703
459,Prof,B,2,16,Male,227085
460,Prof,B,15,10,Male,60386
461,AssocProf,A,1,15,Female,215627
462,AssocProf,B,4,0,Male,78580
463,AssocProf,B,1,12,Female,60039
464,AssocProf,B,15,16,Male,104733
465,Prof,B,8,1,Male,128856
466,AsstProf,A,10,5,Female,223237
467,AsstProf,B,18,11,Male,181197
468,AssocProf,B,10,6,Male,190742
469,AsstProf,B,5,14,Male,198826
470,Prof,A,7,12,Male,74138
471,AsstProf,B,4,0,Male,71724
472,Prof,B,11,0,Female,167940
473,AsstProf,A,19,5,Female,203576
474,AssocProf,B,5,4,Female,67350
475,Prof,B,18,15,Male,232282
476,AsstProf,A,13,18,Female,119031
477,AssocProf,A,4,5,Female,180340
478,Prof,B,4,4,Male,203664
479,Prof,B,4,4,Male,185049
480,Prof,B,19,6,Male,142438
481,AssocProf,B,19,2,Male,107568
482,AssocProf,B,14,14,Male,106811
483,Prof,B,3,3,Male,111923
484,Prof,A,16,11,Female,191585
485,AssocProf,A,9,13,Male,207613
486,Prof,B,12,17,Female,80674
487,AsstProf,B,12,17,Male,199157
488,AsstProf,A,14,7,Female,115972
489,AssocProf,A,13,15,Male,122362
490,AssocProf,B,11,10,Male,192693
491,Prof,A,0,17,Female,139570
492,AsstProf,B,4,7,Female,52360
493,Prof,B,18,17,Female,189023
494,AssocProf,A,9,5,Male,130327
495,AssocProf,A,4,15,Female,210727
496,Prof,A,1,15,Male,150364
497,Prof,A,17,19,Male,165156
498,AsstProf,B,3,6,Female,228721
499,AsstProf,B,10,17,Female,111628
500,Prof,A,18,0,Female,134552
501,AsstProf,B,15,12,Male,228248
502,AsstProf,B,0,2,Female,208676
503,AssocProf,A,1,3,Male,198219
504,AsstProf,A,14,3,Female,67514
505,AssocProf,A,3,0,Male,198203
506,AsstProf,B,14,2,Female,53167
507,AssocProf,B,2,4,Male,137131
508,Prof,B,18,11,Male,116186
509,AssocProf,A,13,6,Male,177402
510,Prof,A,1,13,Female,53755
511,AsstProf,A,0,15,Male,93930
512,AssocProf,B,3,5,Male,170704
513,AssocProf,B,0,3,Female,230409
514,AssocProf,B,19,16,Female,125818
515,AssocProf,A,8,16,Male,226405
516,AssocProf,B,2,14,Male,85038
517,AsstProf,A,0,15,Female,193668
518,AssocProf,B,2,7,Female,178997
519,Prof,A,11,6,Male,59140
520,AssocProf,A,8,5,Female,105479
521,AssocProf,B,3,6,Male,183210
522,AsstProf,B,18,10,Male,158708
523,AssocProf,B,7,5,Male,75138
524,Prof,B,8,19,Male,77375
525,AsstProf,A,6,5,Female,125465
526,Prof,A,18,2,Male,127715
527,AssocProf,A,12,8,Male,203207
528,AsstProf,A,2,6,Male,206603
529,AssocProf,A,8,9,Male,82870
530,AsstProf,A,3,5,Female,214636
531,Prof,A,4,18,Female,179865
532,Prof,A,2,8,Male,57855
533,Prof,A,13,11,Male,202944
534,AssocProf,B,16,13,Female,133528
535,AssocProf,A,16,8,Female,127424
536,AsstProf,B,18,13,Male,57747
537,AssocProf,B,8,18,Female,109998
538,Prof,A,11,8,Male,69351
539,Prof,A,13,10,Male,205215
540,AssocProf,B,6,11,Female,86996
541,AsstProf,B,13,16,Male,62105
542,AsstProf,A,12,12,Male,69622
543,AssocProf,A,4,10,Male,162545
544,AssocProf,B,17,18,Male,172129
545,Prof,B,6,9,Female,176282
546,AsstProf,B,14,18,Male,175675
547,AssocProf,A,0,15,Female,102282
548,AsstProf,A,1,18,Female,124351
549,Prof,A,17,9,Female,124338
550,AsstProf,A,11,2,Female,232822
551,Prof,A,18,14,Female,159149
552,AssocProf,B,13,2,Female,127841
553,AsstProf,B,16,9,Female,179847
554,AssocProf,A,8,7,Male,125132
555,AsstProf,B,9,3,Male,94974
556,AsstProf,B,7,19,Female,217929
557,AssocProf,A,10,13,Male,132603
558,AssocProf,A,0,12,Male,189392
559,AssocProf,B,4,11,Male,71570
560,AsstProf,A,3,6,Male,109798
561,AsstProf,A,2,6,Male,122023
562,Prof,A,14,19,Female,121123
563,AssocProf,A,4,0,Female,130572
564,AsstProf,B,8,0,Female,225998
565,AsstProf,B,0,4,Male,194699
566,Prof,B,15,1,Male,176195
567,AssocProf,B,9,0,Female,66110
568,Prof,A,1,12,Female,186626
569,AssocProf,B,4,9,Female,83188
570,AssocProf,B,10,8,Female,99550
571,AsstProf,A,19,16,Male,231780
572,AssocProf,A,13,11,Female,149909
573,AssocProf,B,5,12,Male,58115
574,AssocProf,A,12,4,Male,234924
575,AsstProf,A,0,6,Male,113981
576,AssocProf,A,16,13,Female,168386
577,Prof,A,9,19,Female,196261
578,AssocProf,B,11,2,Female,163766
579,Prof,B,14,14,Female,207166
580,AsstProf,B,4,6,Male,116271
581,AsstProf,B,0,0,Male,109889
582,AsstProf,A,9,3,Female,183214
583,AssocProf,A,13,1,Female,59146
584,AsstProf,B,8,8,Male,118515
585,AssocProf,B,2,1,Female,155039
586,Prof,B,18,0,Female,208583
587,Prof,B,18,4,Female,229728
588,Prof,B,7,9,Female,93829
589,AsstProf,B,11,18,Female,67281
590,AssocProf,A,0,18,Male,157559
591,Prof,B,8,14,Male,175331
592,Prof,A,4,2,Female,148118
593,Prof,B,16,10,Male,135745
594,AsstProf,A,1,1,Female,88079
595,AssocProf,A,3,5,Male,196659
596,AsstProf,A,9,7,Male,216909
597,AsstProf,B,4,10,Male,65692
598,AssocProf,B,18,18,Male,80481
599,Prof,B,17,18,Male,228068
600,Prof,B,4,6,Male,235103
601,AsstProf,A,7,2,Female,123860
602,Prof,B,19,15,Female,179350
603,Prof,B,6,17,Female,208755
604,AssocProf,A,12,11,Male,109690
605,Prof,A,8,7,Female,58562
606,AssocProf,B,15,10,Male,149388
607,AssocProf,B,11,4,Female,107778
608,Prof,B,13,19,Female,147432
609,AsstProf,B,3,16,Female,171723
610,Prof,A,5,14,Female,130285
611,AssocProf,B,12,1,Male,153473
612,AsstProf,B,12,0,Male,123790
613,AsstProf,B,15,19,Female,154532
614,AssocProf,A,11,7,Male,159888
615,AssocProf,A,16,8,Female,180883
616,AssocProf,B,13,5,Female,125947
617,AsstProf,A,6,4,Male,54548
618,Prof,A,8,8,Male,219030
619,AssocProf,A,8,9,Female,147651
620,Prof,A,17,4,Male,173211
621,AsstProf,B,14,3,Female,189809
622,AsstProf,A,1,4,Male,224492
623,Prof,A,8,6,Female,236670
624,AssocProf,A,2,17,Male,89098
625,Prof,A,14,15,Female,197536
626,AssocProf,A,13,11,Female,86769
627,AsstProf,B,2,11,Female,127721
628,Prof,A,3,12,Male,70726
629,AsstProf,A,14,1,Female,152373
630,AssocProf,A,4,0,Female,108933
631,AssocProf,A,7,1,Male,86401
632,AssocProf,B,19,4,Female,159109
633,AssocProf,A,12,5,Female,227458
634,AssocProf,A,11,16,Male,127016
635,AssocProf,B,8,3,Female,138950
636,AssocProf,B,16,4,Female,89389
637,Prof,B,9,17,Female,191034
638,AsstProf,B,19,19,Female,83124
639,Prof,A,4,13,Male,50669
640,AssocProf,A,18,7,Male,169448
641,AsstProf,A,7,18,Male,60372
642,AssocProf,B,19,11,Female,219254
643,AssocProf,A,13,18,Male,89386
644,AsstProf,A,3,15,Female,77090
645,Prof,A,14,11,Male,228571
646,Prof,B,5,2,Male,191645
647,Prof,B,11,14,Female,171895
648,AssocProf,A,3,17,Male,78668
649,Prof,A,14,19,Female,89241
650,Prof,A,14,15,Male,210222
651,AsstProf,A,6,12,Female,124391
652,Prof,B,4,6,Female,208597
653,AssocProf,B,4,11,Male,114252
654,AsstProf,B,14,3,Female,78750
655,AsstProf,B,15,4,Female,74387
656,Prof,A,6,17,Male,105863
657,AssocProf,A,7,10,Male,60345
658,AsstProf,B,8,8,Male,58974
659,AssocProf,A,18,12,Male,135370
660,Prof,A,18,7,Male,91139
661,AsstProf,A,12,19,Male,221396
662,AssocProf,B,5,6,Male,97808
663,Prof,A,4,12,Female,207367
664,Prof,B,11,0,Male,165884
665,AssocProf,A,14,5,Male,114969
666,AssocProf,A,19,6,Male,237204
667,Prof,B,5,4,Male,202451
668,AsstProf,B,11,16,Female,186225
669,Prof,A,16,7,Female,106747
670,Prof,B,18,9,Female,143933
671,AssocProf,B,15,2,Male,189523
672,AssocProf,A,2,11,Male,223503
673,AsstProf,B,9,17,Female,190864
674,Prof,B,18,2,Female,167189
675,Prof,A,7,15,Male,164623
676,AsstProf,B,5,15,Female,159097
677,AssocProf,B,19,10,Male,158892
678,AssocProf,B,0,19,Female,97276
679,AssocProf,B,0,17,Male,174351
680,AssocProf,B,10,1,Female,187497
681,AssocProf,A,13,7,Male,141295
682,AssocProf,B,8,11,Female,220047
683,AsstProf,B,3,18,Male,137137
684,AsstProf,B,8,8,Female,99774
685,Prof,B,9,0,Female,112175
686,Prof,B,12,6,Male,91391
687,AsstProf,B,14,10,Female,218677
688,AsstProf,A,6,16,Female,66734
689,AssocProf,B,7,16,Female,117821
690,AsstProf,B,9,11,Female,97552
691,AssocProf,A,11,19,Male,76731
692,Prof,B,5,3,Male,194952
693,AsstProf,B,9,3,Female,64563
694,Prof,B,11,16,Female,111509
695,AssocProf,A,8,1,Male,125383
696,Prof,A,14,7,Male,124895
697,Prof,B,16,3,Male,209622
698,AsstProf,A,0,7,Female,105235
699,Prof,A,18,16,Male,97944
700,AsstProf,A,10,17,Female,105219
701,Prof,A,4,16,Female,67736
702,AssocProf,B,4,15,Female,90607
703,Prof,A,16,18,Female,234770
704,AssocProf,B,1,14,Male,221170
705,AssocProf,B,11,7,Female,186297
706,AsstProf,B,16,5,Male,211935
707,Prof,B,17,15,Male,159437
708,AsstProf,B,12,15,Female,96687
709,AsstProf,B,8,18,Female,142160
710,AssocProf,A,11,3,Female,97665
711,Prof,B,1,0,Male,218960
712,AssocProf,A,0,18,Female,230420
713,Prof,A,8,12,Male,163557
714,AssocProf,B,9,8,Male,57424
715,Prof,B,4,10,Male,55173
716,AssocProf,B,6,19,Male,160820
717,AssocProf,B,13,3,Male,137745
718,Prof,B,2,19,Male,158294
719,AssocProf,B,3,2,Male,146597
